===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-06-05 22:10:13
count workspace : c:\Users\Ciro\Desktop\lsarp-project\scripts
total files : 122
total code lines : 23401
total comment lines : 883
total blank lines : 2377

player\functions.pwn, code is 319, comment is 10, blank is 78.
player\textdraws.pwn, code is 46, comment is 2, blank is 4.
server\core.pwn, code is 0, comment is 27, blank is 0.
server\maps.7z, it is a binary file.
server\maps\maps.pwn, code is 7402, comment is 0, blank is 2.
textdraws.pwn, code is 30, comment is 0, blank is 5.
utils\colors.pwn, code is 28, comment is 0, blank is 0.
utils\iterators.pwn, code is 3, comment is 0, blank is 1.
utils\maths.pwn, code is 68, comment is 2, blank is 11.
utils\utils.pwn, code is 362, comment is 104, blank is 46.
utils\vehicles.pwn, code is 0, comment is 0, blank is 2.
utils\weapons.pwn, code is 0, comment is 0, blank is 0.
vehicles\accessors.pwn, code is 143, comment is 2, blank is 30.
vehicles\callbacks.pwn, code is 3, comment is 3, blank is 3.
vehicles\core.pwn, code is 423, comment is 43, blank is 58.
vehicles\enum.pwn, code is 40, comment is 3, blank is 5.
vehicles\inventory.pwn, code is 389, comment is 10, blank is 38.
weapon_system\core.pwn, code is 184, comment is 25, blank is 27.
weapon_system\enum.pwn, code is 10, comment is 1, blank is 2.
weather_system\core.pwn, code is 152, comment is 2, blank is 11.
===============================================================================
